date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:31	129167/129167	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:45%20GMT	https://theme.dsngrid.com/blackdsn/dark/personal.html	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/personal.html	(from )
11:11:33	3891/3891	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Dec%202023%2004:11:31%20GMT	https://theme.dsngrid.com/robots.txt		(from )
11:11:33	942/942	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-32x32.png	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/assets/img/logo-32x32.png	(from https://theme.dsngrid.com/blackdsn/dark/personal.html)
11:11:34	10039/10039	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-192x192.png	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/assets/img/logo-192x192.png	(from https://theme.dsngrid.com/blackdsn/dark/personal.html)
11:11:35	848/848	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20May%202023%2017:07:00%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/css/plugins.css	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/assets/css/plugins.css	(from https://theme.dsngrid.com/blackdsn/dark/personal.html)
11:11:36	184430/184430	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20May%202023%2017:07:01%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/css/style.css	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/assets/css/style.css	(from https://theme.dsngrid.com/blackdsn/dark/personal.html)
11:11:36	5368/5368	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-light.png	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/assets/img/logo-light.png	(from https://theme.dsngrid.com/blackdsn/dark/personal.html)
11:11:36	5442/5442	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:30%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo.png	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/assets/img/logo.png	(from https://theme.dsngrid.com/blackdsn/dark/personal.html)
11:11:37	170513/170513	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:41%20GMT	https://theme.dsngrid.com/blackdsn/dark/index.html	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/index.html	(from https://theme.dsngrid.com/blackdsn/dark/personal.html)
11:11:37	135250/135250	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:31%20GMT	https://theme.dsngrid.com/blackdsn/dark/business.html	C:/My%20Web%20Sites/Online1/theme.dsngrid.com/blackdsn/dark/business.html	(from https://theme.dsngrid.com/blackdsn/dark/personal.html)
